,text,emotion,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
362,pergi temu doa malam sayang mobil rusak saudari jalan ndirande chirimba malam rumah jam pagi takut rampok dardness,1,,,,,,,,,,
363,kakek tinggal rumah orang tua kunjung ulang tahun mummy temu keluarga kakek,4,,,,,,,,,,
364,libur mantan pacar pukul perilaku jahat jelek personil hotel,5,,,,,,,,,,
365,temu teman kamar bicara halhal pribadi,5,,,,,,,,,,
366,bangun malam mimpi mimpi buruk mimpi terima bangun tuju,1,,,,,,,,,,
367,pagi kantor sen gojek dapet tumben driver bu suudzon ya allah pagi ngerasain kecoa terbang,3,,,,,,,,,,
368,gojek kak kerja temenku bilang nikah biar jemput like ridiculous,4,,,,,,,,,,
369,semenjak ubah tampil gojek tampil aplikasi seringkali error ditelp order goje,2,,,,,,,,,,
370,admin musim siarin liga gojek indonesia,3,,,,,,,,,,
371,admin gojekindonesia gojek order go food coba clear data hp login server unav,2,,,,,,,,,,
372,bayangin pulang rapat banggar sen gojek dua temen dgn tuju beda doi dapet nung,4,,,,,,,,,,
373,hasil gagal universitas takut laku kerja bayar subsidi universitas tetap lanjut studi,1,,,,,,,,,,
374,kirim dm gojek,3,,,,,,,,,,
375,edan kang daniel rambah abang gojek,5,,,,,,,,,,
376,jalan pulang marstrand kemudi mobil ayah mobil coba dorong ayah paksa belok tabrak mobil pilar mobil pergi,2,,,,,,,,,,
377,ahh babang gojek bule tidur luk motor mending peluk bang yukk bang,0,,,,,,,,,,
378,gosendgrabsend mahal gojekgrabbike,2,,,,,,,,,,
379,gojek aroma helm banget,4,,,,,,,,,,
380,order go food pakai go pay order hilang gopay potong gojek sam,2,,,,,,,,,,
381,gojek konvoi pks gerindra,2,,,,,,,,,,
382,tentara laku adil atas anggap tanggung buat salah,2,,,,,,,,,,
383,gagal terjang lebar rambut pria meter kemudi km jam,1,,,,,,,,,,
384,situasi lintas jl kramat raya arah salemba pantau padat,3,,,,,,,,,,
385,kantor temanteman putra sekolah sesat,1,,,,,,,,,,
386,orangorang milik sentimen,4,,,,,,,,,,
387,sen grab gojek perahu,5,,,,,,,,,,
388,nunggu abang gojek,0,,,,,,,,,,
389,admin barusan telpon gojek dapet jt dimasukin gopayrekening prib,5,,,,,,,,,,
390,pahlawan keluarga driver gojek panutan,3,,,,,,,,,,
391,driver gojek kalah bersliweran banding driver grab tarif gopay,2,,,,,,,,,,
392,gojekgocar murah,0,,,,,,,,,,
393,sms undang lanjut daftar gosend sms nya terha,3,,,,,,,,,,
394,br sj telepon tipu aku gojek pin gopay pls fu gojekindonesia,1,,,,,,,,,,
395,pose curiga si abang gojek ganteng bottom,5,,,,,,,,,,
396,daftar gojek traveloka dll ganti repot,1,,,,,,,,,,
397,online primitif malu mentang suka jijik online grab gojek delete aplikasi,4,,,,,,,,,,
398,yaa gojek andong siang,0,,,,,,,,,,
399,ya om gojek liat sore pulang sekolah,5,,,,,,,,,,
400,akibat toko tolak pesan kirim area gojek,3,,,,,,,,,,
401,driver gojek cuman bilang helm disimpen,2,,,,,,,,,,
402,temu pacar milik gadis temu surat tulis gadis pergi terima,2,,,,,,,,,,
403,tawar ajar universitas tarik akomodasi hostel unza daftar mahasiswa,4,,,,,,,,,,
404,kuesioner,1,,,,,,,,,,
405,si gojek grab uber kasi data rating kemudi ya histogram,1,,,,,,,,,,
406,wa kalah gojek keduluan universal studio,5,,,,,,,,,,
407,sayang pakai,5,,,,,,,,,,
408,istirahat mending offin bang,2,,,,,,,,,,
409,sedia pecel ayam krispynasisambel pedazlalapanribuamplele kremez nikmat mantapributahu tempeati,0,,,,,,,,,,
410,tampang akang gojek,4,,,,,,,,,,
411,pergi piknik sekolah tinggal hutan,1,,,,,,,,,,
412,sesat jalan gunung,1,,,,,,,,,,
413,ketawa ditawarin tutup kepala babang gojek disposable headcap dipake,0,,,,,,,,,,
414,pesan pakai day service jual bilang pick gojek gima,3,,,,,,,,,,
415,keluh sikap gojek tolong ditindaklanjuti krna driver,3,,,,,,,,,,
416,pacar pisah rumah teman unjung teman lakilaki konfrontasi ruang coba cari rangsang teman rasa,4,,,,,,,,,,
417,guru kursus subpertanyaan e jam libat gambar jelas selesai kerja,4,,,,,,,,,,
418,curi masuk rumah jijik perilaku temu apaapa rusak barangbarang jendela kaca dll,4,,,,,,,,,,
419,barang terima beli urus langsung beli ya memba,2,,,,,,,,,,
420,mas nama gitaris jes deh driver gojek,0,,,,,,,,,,
421,barusan ksh gojek langgan bilang jmpt stadebar,0,,,,,,,,,,
422,salah pacar marah teman lakilaki cemburu,2,,,,,,,,,,
423,cant trust babang gojek nyuruh kasih tangan pas nyebrang,0,,,,,,,,,,
424,kasi abang gojek entar tilang go food sampe sampe entar,3,,,,,,,,,,
425,kali larut malam sepeda rumah susul pria halo sayang takut bayang pandang liar,1,,,,,,,,,,
426,tinggal ayah,3,,,,,,,,,,
427,mantap jaga aman jalan antar coustumer selamat tujuanbravo gojek ons line,0,,,,,,,,,,
428,lupa lirik kontes lagu,3,,,,,,,,,,
429,siyaappp kirim aya naek gojek,0,,,,,,,,,,
430,hohohohoho ampe segitunyaklo anggota kelompok ambil order dideket rumah kenain biaya rb ah,2,,,,,,,,,,
431,trauma banget varioan jalan basah walopun posisi diboncemg babang gojekwkwk,3,,,,,,,,,,
432,hadu gojek nasi goreng banget,3,,,,,,,,,,
433,salah tugas klinik parah rumah sakit tidur marah,5,,,,,,,,,,
434,simpul ambil populasi driver gojek milik rating excellent k,5,,,,,,,,,,
435,cuman melayai kirim negri cod gojek serba,0,,,,,,,,,,
436,uang narik gojek abis beli accessories hape doang,3,,,,,,,,,,
437,pengganguran tambah banya,3,,,,,,,,,,
438,jijik mabuk muntah ofensif,4,,,,,,,,,,
439,mending gojek,0,,,,,,,,,,
440,kirim paket makan one day service gojek tangerang depok bogor sampe bandung pakai,0,,,,,,,,,,
441,suka sedih liat linked isi shopee bukalapak gojek ruangguru halodoc female daily traveloka pegipegi,3,,,,,,,,,,
442,tetep gaya kaku jijik gojek,4,,,,,,,,,,
443,gojek grab ubersaat pegawai mahasiswa daftar kendara,5,,,,,,,,,,
444,terima surat universitas mohon terima,0,,,,,,,,,,
445,temu belatung makan ruang makan makan buruk,4,,,,,,,,,,
446,celaka mobil kemudi jalan,1,,,,,,,,,,
447,bentar ya sk sen gojek dl,0,,,,,,,,,,
448,pergi hasil uji gagal,3,,,,,,,,,,
449,kabeh gojek everybody know ai orang jawa medok,0,,,,,,,,,,
450,laundry kimia tikus belatung cuci,4,,,,,,,,,,
451,untung pakai joox premium dapet voucher gojek cinta banget emang gojek,3,,,,,,,,,,
452,hidup kerabat bahaya,1,,,,,,,,,,
453,driver gojek hindar daripenipuan,0,,,,,,,,,,
454,jam gin bangun gara notif point gojek,4,,,,,,,,,,
455,temu pacar lacur orang hubung,4,,,,,,,,,,
456,pemuda cacat fisik ludah mulut bicara,4,,,,,,,,,,
457,admin ari gojek ngayakeun aplikasi gojek payungtanyapronlen,3,,,,,,,,,,
458,ekhemarmotita caf buka nih,0,,,,,,,,,,
459,takut sedih rasa uji,1,,,,,,,,,,
460,saudara pukul kepala hilang sadar latih olahraga pulih,1,,,,,,,,,,
461,pondok jayapondok ranji gojek mahal k grab woo,5,,,,,,,,,,
462,bingung kontribusi jadi inidriver identitas rekam nekat ba,5,,,,,,,,,,
463,rumah isi lapor pajak milik bantu laku cepat pergi temu teman rumah sakit marah kakak ayah tolak kalkulator minta pergi tunggu bantu lapor pajak selesai,2,,,,,,,,,,
464,gua abang gojek mba grab,2,,,,,,,,,,
465,ojek online tepat spesifik gojek ya,0,,,,,,,,,,
466,teman mabuk berat salah oceh pengaruh alkohol takut,1,,,,,,,,,,
467,pergi area ekor anjing kejar takut gigit,1,,,,,,,,,,
468,ya ngirim ipx pakai gojek kolom ditulisin ipx gb,3,,,,,,,,,,
469,teknologi gojek bikin males kadang berame beli rokok pakenya gojek cm nganter rokok bungkus,4,,,,,,,,,,
470,konsentrasi kerja teman ganggu minta henti siasia,2,,,,,,,,,,
471,selesai pr,5,,,,,,,,,,
472,diberitahu formulir hasil,1,,,,,,,,,,
473,jijik sepupu putus henti pergi sekolah meni erti pikir,4,,,,,,,,,,
474,sekolah tengah orang kadangkadang provokasi teman panggil babi gerutu jengkel perempuan kali salah gadis marah teman buruk marah,2,,,,,,,,,,
475,cuman promote bang tarik cerita fiksi original otak judul gojek drakula act,0,,,,,,,,,,
476,hahahah viral oppa gojek ganteng,0,,,,,,,,,,
477,usaha sekarrang kenpa gojek yah uber,3,,,,,,,,,,
478,hehehehegosend rs cikinibintaro sektor gua sikat bang,0,,,,,,,,,,
479,bingung pakai gojek,4,,,,,,,,,,
480,kemarin sih dapet sampe order manggarai pulo gadungudah versi,0,,,,,,,,,,
481,sampe meriksa status pasien tuh brasa nyeesss gtu barusan meriksa status pasien pasien dtg sn,5,,,,,,,,,,
482,sapa teman tanggap,4,,,,,,,,,,
483,meja rumah teman prancis saji hidang kembang kol saus panggang makan,4,,,,,,,,,,
484,nggak ngeluh mace keinget jam gojek pas jakarta,4,,,,,,,,,,
485,lamalama gojek asa naik harga ya,3,,,,,,,,,,
486,halo admin gojek buka lowong magang anak smk jurus teknik komputer jaring,1,,,,,,,,,,
487,kadang suka kesel helm gojek bau,4,,,,,,,,,,
488,kuamprettttlambeonlen,2,,,,,,,,,,
489,jakarta macet sih segitu tari,5,,,,,,,,,,
490,dadahin abang gojek asa artis dadahin fans wartawans really made day haha cianan,4,,,,,,,,,,
491,kang gojek gratis suka sedih liat cowok kek,4,,,,,,,,,,
492,rendam mandi,4,,,,,,,,,,
493,kasih temu jalan gandeng tangan gadis cinta,5,,,,,,,,,,
494,cuman doang install app ojol cuman buatgrab grabcarnyagojek gofoodnyauber motor,0,,,,,,,,,,
495,patah lutut main ski yastrebetz trek balap resor musim dingin bulgaria,1,,,,,,,,,,
496,eh tau dtg cewek tembem ndut sumpah malu ingt moment awkward salting nahan ktawa amp,0,,,,,,,,,,
497,kerja rumah rumah kerabat saran bantu kerja rumah,5,,,,,,,,,,
498,paramiliter kirim unza gas air mata intimidasi siswa provokasi,2,,,,,,,,,,
499,susah lacak pakai akun gojek fiktif foto,1,,,,,,,,,,
500,teman salah erti,3,,,,,,,,,,
501,sahabat tibatiba sikap aneh hadap,4,,,,,,,,,,
502,selamat driver terpilihane bang gojek ngeri boncos,3,,,,,,,,,,
503,pulang pergi kantor gojek grab nyaman tarif mulu jarang,3,,,,,,,,,,
504,anak kosan hujan indomie ya gojek pilih indomie,0,,,,,,,,,,
505,masak mesin mobil ayah salah baik ukur suhu rumah benarbenar jerit marah alami ketidakadilan tambah deret kembang,2,,,,,,,,,,
506,wkwkwkw nama pas foto kilat beneran kaga sempet touch abis ngejar murid foto doang,0,,,,,,,,,,
507,siang siang nungguin gojek dateng didatengin preman eh nya intel bgzt,3,,,,,,,,,,
508,bang gojek pulaa,2,,,,,,,,,,
509,halo admin ubah nomor telepon akun gojek lupa pin gopaynya,3,,,,,,,,,,
510,pria bawa pisau tangkap ancam libur monze,1,,,,,,,,,,
511,gara gara update harga gojek mahal ya rasa k,3,,,,,,,,,,
512,kucing muntah ekor cacing hidup paksa hapus,4,,,,,,,,,,
513,usia turun celana teman tampil saksi hukum kirim rumah bicara pikir malu bagi,5,,,,,,,,,,
514,diskus istri kenal biasa makan bekas luka sebab hamil,4,,,,,,,,,,
515,basah kepala tidur saudara perempuan temu lapor saudarasaudaranya parah,5,,,,,,,,,,
516,pacar isyarat telepon bebas kosong diam ikut,1,,,,,,,,,,
517,henti ajar ekonomi bidang tarik majikan,2,,,,,,,,,,
518,duduk bioskop cemas tonton film dingin alas,1,,,,,,,,,,
519,wkwk nular kelas ya yaampun ngerti gofood uninstall gojek hehe,3,,,,,,,,,,
520,simpul hari indah,0,,,,,,,,,,
521,temu cia tambang labuh nikaragua,4,,,,,,,,,,
522,tipu modus mama pulsa target guna gojek guna transaksi non tunai gopay,1,,,,,,,,,,
523,program perempuan inap perempuan salah lontar komentar buruk jijik bawa puji pria pria gadis tarik pria bitchiness komentar catty wanita gagal jijik jadi dorong orang,4,,,,,,,,,,
524,bicara suka,4,,,,,,,,,,
525,tinggal gelap,1,,,,,,,,,,
526,masuk rumah tibatiba anjing diri samping gerak reaksi,1,,,,,,,,,,
527,tolong driver driver member stasiun tindak,2,,,,,,,,,,
528,ok see entire point iya sih ekslusif gojek isu lintas industri teknologi,0,,,,,,,,,,
529,pilih ajar unza,0,,,,,,,,,,
530,pas gojekindonesia telepon nomor motor driver minggir,0,,,,,,,,,,
531,gojek motor tinggal,5,,,,,,,,,,
532,uninstall ros gojek totalitas pulkam,3,,,,,,,,,,
533,mas kata abang gojek,3,,,,,,,,,,
534,males ya gojek,2,,,,,,,,,,
535,sampean jugak naek gojek sender enyak becul,0,,,,,,,,,,
536,keren harga kerja keras mitra kerja selamat abang driver,0,,,,,,,,,,
537,orang kek dibaikin random loh nyerang nya,2,,,,,,,,,,
538,hai kak dya unlimited aplikasi facebook path twitter whatsapp line bbm faceb,0,,,,,,,,,,
539,ketuk pintu rumah bel pintu lubang intip tutup telepon saudara perempuan bantu ratus kilometer jauh,1,,,,,,,,,,
540,driver online nekat tembaktembakan kejar bonus,0,,,,,,,,,,
541,panggil polisi pakai mobil kendara balik avenue cepat takut henti keras pergi situasi bahagia konsekuensi,1,,,,,,,,,,
542,ayah bantu anak lawan anakanak,2,,,,,,,,,,
543,asa,4,,,,,,,,,,
544,panggil telepon cabul orang nama,1,,,,,,,,,,
545,gagal uji masuk sekolah dokter ajar biokimia milik prospek kerja zambia,4,,,,,,,,,,
546,lewat mobil lewat jembatan mobil tebing sisi kisikisi lindung jembatan benarbenar kacau,1,,,,,,,,,,
547,hina orangorang jijik,2,,,,,,,,,,
548,om bikin gojek om aussie,0,,,,,,,,,,
549,salah kenal cahaya prediksi,4,,,,,,,,,,
550,gojek durmstrang sen tapi milik gocrys,3,,,,,,,,,,
551,asrama tidur penuh koran pakai kotor teman kamar minta cuci pakai untuk milik tanggung makan makan makan,2,,,,,,,,,,
552,muda pergi lift tua main lift antik orang temu ingat takut,1,,,,,,,,,,
553,hidup universitas asal kota beda kenal uni takut temanteman kenal cinta aman bawa pergi,1,,,,,,,,,,
554,film porno binatang,4,,,,,,,,,,
555,ada gojek ajak ngobrol abang nya iya doang kedengeran,3,,,,,,,,,,
556,pesan gojek dateng nomer platnya beda helm merk grab ceritaojol,1,,,,,,,,,,
557,jalan mata mbrembes denger cerita gojek kangen doa istri tinggal sampe tun,3,,,,,,,,,,
558,beli makan luar pas ujan gojek sen diduluin enak,0,,,,,,,,,,
559,jijik orang laku buruk laku orang bohong sembunyi fakta bohong adil dll,4,,,,,,,,,,
560,suka video kolonialisme zaman investor gojek tokopedia bukalapak traveloka,0,,,,,,,,,,
561,menyantumkan nomer telepon mana zegera masuk jawa post driver gojek bajing hamil tid,4,,,,,,,,,,
562,totooootttbubar bubar,3,,,,,,,,,,
563,teman tunang undang,4,,,,,,,,,,
564,ya allah cannot grateful living ina bayangin sapa coba gojek living sg,3,,,,,,,,,,
565,marah ketidakpedulian orangorang mampu hadir acara pihak,2,,,,,,,,,,
566,kali luka main sepak bola sekolah blantyre bawa rumah sakit kaki benarbenar bengkak xrays patah tulang kumpul darah otot takut toreh bengkak pisau bedah,1,,,,,,,,,,
567,jas ujan abang gojek,5,,,,,,,,,,
568,hukum adil teman,2,,,,,,,,,,
569,hikinghitch pergi pria hanyut orang gila,1,,,,,,,,,,
570,garuda rugi rugi cmiiw yah,5,,,,,,,,,,
571,gosend kirim struk gojekklo butuh struk nya yahtks,2,,,,,,,,,,
572,lompat pria daerah sepi,1,,,,,,,,,,
573,jijik universitas pergi rumah ceramah tangan buat jijik,4,,,,,,,,,,
574,takut biasa ih repot abang gojek,1,,,,,,,,,,
575,temen gua buru naek gojek ngulurin tangan helm disalamin ama abang wqwqw,3,,,,,,,,,,
576,malu tingkah laku orang orangtua tua luka malu tinggal belas kasihan takdir,5,,,,,,,,,,
577,asrama sendawa makan,4,,,,,,,,,,
578,awat tambah rumah sakit ganti popok kali wanita tua sakit,4,,,,,,,,,,
579,kesel ya abang gojek chat bales pas telepon bilang iya,4,,,,,,,,,,
580,beli kerja rumah benarbenar laku baca materi ajar,5,,,,,,,,,,
581,kereta trem orang asing hina gadis tiup hidung benci perilaku,4,,,,,,,,,,
582,pilih ceramah bahasa inggris teman orangorang anak perempuan pilih,5,,,,,,,,,,
583,tagih make jasa kang gojek denpasar bal indonesia,0,,,,,,,,,,
584,sore mesan shopee via gojek livetracking via sms shopee status,0,,,,,,,,,,
585,salah sahabat temu geletak jalan mabuk bawa polisi masuk sel pergi temu esok pagi benarbenar beranta bau busuk suka,4,,,,,,,,,,
586,sering lupa balikin helm gojek pas turun nyaman,4,,,,,,,,,,
587,main ski turun lereng dingin cepat kondisi putih kendali laku mana tuju,1,,,,,,,,,,
588,cuaca terik buka aplikasi gojek gosend kabel charger tinggal driver hujan turun den,3,,,,,,,,,,
589,kertas kelas kuliah,5,,,,,,,,,,
590,jijik atas urus konyol habis harga kejar hobi orang cinta rindu,4,,,,,,,,,,
591,join jam gin closed gojek ku menang,3,,,,,,,,,,
592,pria mabuk hasut tarung temu pria bau busuk trem bangun marah,4,,,,,,,,,,
593,tengkar fotografer aju belas kali periode minggu foto kali film proses snap laku,2,,,,,,,,,,
594,pms helm gojek ngeselin bangeeet sumpaaah,2,,,,,,,,,,
595,masuk mobil sangkal,2,,,,,,,,,,
596,gambar gteborg post mobil hancur total langgan parah mobil rusak parah keluar mayat jadi,4,,,,,,,,,,
597,curhat gojek,0,,,,,,,,,,
598,daftar gojek daerah kerasaanperdagangan kota simalungunsumut cbg sianta,2,,,,,,,,,,
599,reaksi citizen jalan ganeca tuh angkot gojek rupa mo,2,,,,,,,,,,
600,naik tarif gojek tahap uninstallajalahmendingaqpakegrab,4,,,,,,,,,,
601,universitas milik hasil buruk istilah istilah takut promosi dahulu,1,,,,,,,,,,
602,suka tampil gojek wkwk,0,,,,,,,,,,
603,jijik alkohol teman mabuk berat sadar laku malu,4,,,,,,,,,,
604,malu untung,3,,,,,,,,,,
605,iya bang peluk yukk,0,,,,,,,,,,
606,sisa kenganuan malam pulang jatuh gojek lekas sembuh ya mas biar jogja,0,,,,,,,,,,
607,rasa asa uji matematika,5,,,,,,,,,,
608,teman adil salah bebas hati nurani sebar bohong tuju,4,,,,,,,,,,
609,admin gua nanyakalau sen go bluebird bandara soetta jakarta utara kagatanpa h,0,,,,,,,,,,
610,gojek tampil gengzz,0,,,,,,,,,,
611,gojek helm pas kepala senangggg,4,,,,,,,,,,
612,ngantuk nungguin istirahat tbtb telpon gojek eh tau dikirimin pizza,5,,,,,,,,,,
613,guru undang makan siang kantin kenal anak lakilaki minat detail pribadi bicara giat ada kampus tarik giat bicara siswa duduk belah takut kegiatankegiatan,5,,,,,,,,,,
614,bersih kamar mandi apt sadar teman kamar tinggal musim panas bersih,4,,,,,,,,,,
615,temu goda,4,,,,,,,,,,
616,latih mesin tani pergi halaman periksa deret mesin penuh tugas guru canggung dapat,5,,,,,,,,,,
617,ama babang gojek nya atuh hihu,5,,,,,,,,,,
618,xixixixi,4,,,,,,,,,,
619,salah kerabat malam tinggal teman tipu orangtua pergi dengar takut pukul,1,,,,,,,,,,
620,menit kereta berangkat dapet gojek ibuibu jalan km jam ya senam tera deh malemtariik lepaas,2,,,,,,,,,,
621,aplikasi gojek blokir cancel paham atur cancel pe,3,,,,,,,,,,
622,hahaha lumayan kilo kak jalan kaki ketemu warung yakali gojek masuk hutan,3,,,,,,,,,,
623,ketemu orang hebat kasih insight konsep digital ekonomi sperti gojek tokped kueren,0,,,,,,,,,,
624,program keras pornografi tampil tv,4,,,,,,,,,,
625,terima telepon aku tugas gojek rp juta amblas,5,,,,,,,,,,
626,gojek gih aa tunggu,3,,,,,,,,,,
627,bos gojek kemudi milik saham usaha,0,,,,,,,,,,
628,tarif gofood harga makan nya fix gapake gojek,2,,,,,,,,,,
629,gojek rebu grab cuman rebu lahh dapet voucher promo,2,,,,,,,,,,
630,pagi pergi dokter gigi,1,,,,,,,,,,
631,bos potong libur biar gadis ambil libur marah benci akibat hubung buruk,2,,,,,,,,,,
632,sbnrnya ya gituklo akun anyep sabarin dlucari spot rame order wlwpn lu suka jenis order,3,,,,,,,,,,
633,kali singgung teman alihalih diskusi cerita orang,4,,,,,,,,,,
634,malam universitas orang aneh mobil dekat pindah dekat milik asa serang pergi temu kaca mobil rusak,1,,,,,,,,,,
635,posisi perintah dasar hukum layan sedia gojek,2,,,,,,,,,,
636,kang ojek gojek,3,,,,,,,,,,
637,transaksi gosendgk direjek driver info,0,,,,,,,,,,
638,admin nomer resi mnta cari driver jam barang dipickup,3,,,,,,,,,,
639,liat beneran gojek lemes banget takut jatoh,1,,,,,,,,,,
640,tulis kertas panggil telepon turun terima cakap temu informasi hilang pikir,4,,,,,,,,,,
641,sekolah pekan raya sikap amnesti internasional baca kali deskripsi siksa wanita laku,4,,,,,,,,,,
642,hahhaa langgar marka jalanlarangan parkirlarangan stoplawa,0,,,,,,,,,,
643,temu pacar pergi minumminum bibi kenal bibi pergi,5,,,,,,,,,,
644,kezia oke skarang diet spedaan catet calorie intake,3,,,,,,,,,,
645,ayo makan gojek,0,,,,,,,,,,
646,fasilitas servis atur harga nya naujubillah pakai gojek stasiun,2,,,,,,,,,,
647,gabisa install gojek yaa grab,3,,,,,,,,,,
648,songong motor buk emang situ pakai gojek ato,3,,,,,,,,,,
649,muda pindah keluarga auckland wellington sekolah temanteman dll,1,,,,,,,,,,
650,ketuker buka app gojek pencet spotify,5,,,,,,,,,,
651,come hangout paska kopdar gojek ons bigolive,0,,,,,,,,,,
652,gua tebang pohon lu sodara,2,,,,,,,,,,
653,ya allah inget kemaren abang gojek nawarin ngisi gopay ku tolak,3,,,,,,,,,,
654,sulit hubung peristiwa akrab jijik sartre la nauste sebab gambar bodoh,4,,,,,,,,,,
655,injak ular sanca ular sadar tidur pohon baobab,1,,,,,,,,,,
656,anak derita mimpi buruk cemas takut,1,,,,,,,,,,
657,sentak kamar tibatiba ibu masuk tatap tinggal ruang,5,,,,,,,,,,
658,pakai aplikasi gojek pas versi adaptasi plus minus plus detail,2,,,,,,,,,,
659,ya orang pakai akun gojek ayah kembali akun ayah,2,,,,,,,,,,
660,driver gojek kena suspend berapalama,5,,,,,,,,,,
661,alhamdulillah abg gojek rezeki malam pekanbaru,0,,,,,,,,,,
662,pagi gojek tarik tunai gopay masuk tolong konfirmasi nya,3,,,,,,,,,,
663,minn gojek cikuya tangerang bom plis buka gojek wilayah cikuya biar mudah,3,,,,,,,,,,
664,film horor omen tidur malam tutup mata adegan film dengar gadisgadis film teriak iblis iblis milik ekspresi wajah pikir pilih,1,,,,,,,,,,
665,hai gojek teman daftar akun gojek email pribadi tolong bantu hapus akun,1,,,,,,,,,,
666,perhati banget cie mamang gojek cie kiw,0,,,,,,,,,,
667,arel asik gosip ganteng tementemennya langsung sadar jemput,0,,,,,,,,,,
668,tv china menang medali emas olimpiade asia,5,,,,,,,,,,
669,uji,1,,,,,,,,,,
670,jijik gojek langgar uu transportasi polisi diam takut tindak,4,,,,,,,,,,
671,nenek tinggal milik hubung dalam dengan tinggal sama,3,,,,,,,,,,
672,turun gojek baca plang info kereta bogor gua lari biar tinggal bohong,2,,,,,,,,,,
673,kamp teman kelas kritik orang temu teman kelas jijik,4,,,,,,,,,,
674,bohong orang,5,,,,,,,,,,
675,nenek tinggal dengan,3,,,,,,,,,,
676,cari siswa pikir,1,,,,,,,,,,
677,malam driver gojek tindak gojek kait order fiktif rajalela daerah,2,,,,,,,,,,
678,kota malaysia pacar teater gambar gegas taksi temu lelaki tua sakit ambil alih taksi,4,,,,,,,,,,
679,sedih riak paman diberitahu uang sekolah pergi kebun pergi awal adik depot bus,3,,,,,,,,,,
680,rumah cium pacar mobil muncul pulang acara,1,,,,,,,,,,
681,first timer krl first timer gojek haha,5,,,,,,,,,,
682,buset kurir pakai atribut gojek moga cepat ketemu,5,,,,,,,,,,
683,rumah temu pasok listrik putus bayar tagih penuh zesco,2,,,,,,,,,,
684,lomba lintas negara ambil jalan pintas boleh tangkap diskualifikasi teman amat,5,,,,,,,,,,
685,aplikasi grab ok nonjolin layan milik layan lainbandingin goj,3,,,,,,,,,,
686,dengar keponakan tinggal,3,,,,,,,,,,
687,takut uji semester,1,,,,,,,,,,
688,ajar tibatiba marah anakanak tampar,2,,,,,,,,,,
689,pulang rumah mobil malam cuaca dingin gelap angin guna jalan rumah,1,,,,,,,,,,
690,tuh banget catcallkarena pulang sekolah kantrus goj,2,,,,,,,,,,
691,adain pilih gojek nyata,3,,,,,,,,,,
692,tampil gojek bikin pusing,3,,,,,,,,,,
693,dah gin doang emang gojek sisa antem nitip makan,3,,,,,,,,,,
694,rasa emosi pasuk bangsal rumah sakit unjung kerabat sakit,4,,,,,,,,,,
695,selamat malam gojek bantu unt tanggal feb transaksi pagi kfc jakarta,2,,,,,,,,,,
696,kerabat tinggal celaka mobil serius salah orang mayat laku masuk takut kali mayat,1,,,,,,,,,,
697,kack gojek akun dah,3,,,,,,,,,,
698,layan tentara kolegawan cela delik tangkap benci pria,4,,,,,,,,,,
699,takok lak iso ta takok wonder woman nek bonceng gojek lungguh e nyamping po wkwk,2,,,,,,,,,,
700,abis mas nasgor legend pas doi babang gojek nyantai nyamperin,0,,,,,,,,,,
701,teman hasil menang simpati orang kali dengar coba halhal dengar dapat benarbenar jijik cerita,4,,,,,,,,,,
702,rasain nitik kfc dapetnya ya kfc bang temen ane nahkalo ujanbarungeblas,5,,,,,,,,,,
703,btw gojek ngasih asuransi drivernya allianz sehat amp,0,,,,,,,,,,
704,suka duka driver gojek lupa share subscribe ya guys,3,,,,,,,,,,
705,angka driver amp guna gojek bisa perintah sedia lapang kerja serap,5,,,,,,,,,,
706,oalah pantes ci sen gojek daerah menteng dapet,5,,,,,,,,,,
707,note nya ganti duit gojek ganti,3,,,,,,,,,,
708,orang tua libat celaka mobil operasi operasi dokter mater hidup mati,1,,,,,,,,,,
709,ajar dokter semester kembang takut uji takut periksa anatomi murid periksa bedah dengar tunggu takut gilir,1,,,,,,,,,,
710,makan bang gojek hubung,4,,,,,,,,,,
711,nunggu jam malammungkin bilang pagi hujan lebat nunggu gojek ambil takut,1,,,,,,,,,,
712,bibi marah guna muak perilaku,2,,,,,,,,,,
713,abis ta tabahin gopaynya lwat banking bca rb telepon tambah poin kur,2,,,,,,,,,,
714,pulang sopiin driver gojek koma rumah sakit akibat,3,,,,,,,,,,
715,dapet helm gojek dalem basah jalan kuyup kepala,4,,,,,,,,,,
716,sayah brebes mil lihat ig story gojek edisi hariperempuaninternasional,5,,,,,,,,,,
717,marah dokter laku lahir tinggal plasenta keluar darah belas minggu lemah emosional butuh awat psikiatri dukung,2,,,,,,,,,,
718,jalan pulang malam bus kota hadap kelompok lakilaki biar komentar dll seberang jalan gegas pulang,1,,,,,,,,,,
719,laku kece ponsel registrasi uang k,2,,,,,,,,,,
720,milik asa temu gadis kotor segar buang kekanakkanakan,4,,,,,,,,,,
721,gojek mcd ngomel,2,,,,,,,,,,
722,eropa kereta api bus bandara pesawat,1,,,,,,,,,,
723,anak jatuh ranjang usia gugup pikir sebab cacat kepala,1,,,,,,,,,,
724,teman cinta gadis sma sengaja seret ruang jadi jijik nyata,4,,,,,,,,,,
725,drama pagi adlh gojek stasiun bogor stasiun cilebut cilebut krl,3,,,,,,,,,,
726,anjing personal es musim semi,1,,,,,,,,,,
